Sample	Gender	Pop	Sub.pop	hg19	hg38
HG00171	female	EUR	FIN	Y	Y
HG00183	male	EUR	FIN	Y	Y
HG00188	male	EUR	FIN	Y	Y
HG00234	male	EUR	GBR	Y	Y
HG00239	female	EUR	GBR	Y	Y
HG00133	female	EUR	GBR	Y	Y
HG00138	male	EUR	GBR	Y	Y
HG00107	male	EUR	GBR	Y	Y
HG00114	male	EUR	GBR	Y	Y
HG00119	male	EUR	GBR	Y	Y
HG00246	male	EUR	GBR	Y	Y
HG00258	female	EUR	GBR	Y	Y
HG00140	male	EUR	GBR	Y	Y
HG00145	male	EUR	GBR	Y	Y
HG00099	female	EUR	GBR	Y	Y
HG00178	female	EUR	FIN	Y	Y
HG00525	female	EAS	CHS	Y	Y
HG00180	female	EUR	FIN	Y	Y
HG00185	male	EUR	FIN	Y	Y
HG00366	male	EUR	FIN	Y	Y
HG00236	female	EUR	GBR	Y	Y
HG00373	female	EUR	FIN	Y	Y
HG00243	male	EUR	GBR	Y	Y
HG00378	female	EUR	FIN	Y	Y
HG00128	female	EUR	GBR	Y	Y
HG00380	female	EUR	FIN	Y	Y
HG00142	male	EUR	GBR	Y	Y
HG00551	female	AMR	PUR	Y	Y
HG00556	male	EAS	CHS	Y	Y
HG00154	female	EUR	GBR	Y	Y
HG00173	female	EUR	FIN	Y	Y
HG00309	female	EUR	FIN	Y	Y
HG00311	male	EUR	FIN	Y	Y
HG00109	male	EUR	GBR	Y	Y
HG00323	female	EUR	FIN	Y	Y
HG00111	female	EUR	GBR	Y	Y
HG00328	female	EUR	FIN	Y	Y
HG00116	male	EUR	GBR	Y	Y
HG00330	female	EUR	FIN	Y	Y
HG00123	female	EUR	GBR	Y	Y
HG00436	male	EAS	CHS	Y	Y
HG00250	female	EUR	GBR	Y	Y
HG00255	female	EUR	GBR	Y	Y
HG00448	male	EAS	CHS	Y	Y
HG00096	male	EUR	GBR	Y	Y
HG00265	male	EUR	GBR	Y	Y
HG00277	male	EUR	FIN	Y	Y
HG00284	male	EUR	FIN	Y	Y
HG00103	male	EUR	GBR	Y	Y
HG00553	male	AMR	PUR	Y	Y
HG00342	male	EUR	FIN	Y	Y
HG00560	female	EAS	CHS	Y	Y
HG00115	male	EUR	GBR	Y	Y
HG00565	male	EAS	CHS	Y	Y
HG00361	female	EUR	FIN	Y	Y
HG00584	female	EAS	CHS	Y	Y
HG00599	female	EAS	CHS	Y	Y
HG00638	female	AMR	PUR	Y	Y
HG00640	male	AMR	PUR	Y	Y
HG00445	male	EAS	CHS	Y	Y
HG00457	male	EAS	CHS	Y	Y
HG00464	female	EAS	CHS	Y	Y
HG00614	female	EAS	CHS	Y	Y
HG00619	male	EAS	CHS	Y	Y
HG00596	female	EAS	CHS	Y	Y
HG00626	female	EAS	CHS	Y	Y
HG00611	female	EAS	CHS	Y	Y
HG00368	female	EUR	FIN	Y	Y
HG00683	male	EAS	CHS	Y	Y
HG00690	female	EAS	CHS	Y	Y
HG00382	male	EUR	FIN	Y	Y
HG00177	female	EUR	FIN	Y	Y
HG01061	female	AMR	PUR	Y	Y
HG00189	male	EUR	FIN	Y	Y
HG00306	female	EUR	FIN	Y	Y
HG01066	male	AMR	PUR	Y	Y
HG00235	female	EUR	GBR	Y	Y
HG00313	female	EUR	FIN	Y	Y
HG01073	female	AMR	PUR	Y	Y
HG00318	female	EUR	FIN	Y	Y
HG01080	female	AMR	PUR	Y	Y
HG00254	female	EUR	GBR	Y	Y
HG00325	male	EUR	FIN	Y	Y
HG00259	female	EUR	GBR	Y	Y
HG00332	female	EUR	FIN	Y	Y
HG01112	male	AMR	CLM	Y	Y
HG01028	male	EAS	CDX	Y	Y
HG00367	female	EUR	FIN	Y	Y
HG00344	female	EUR	FIN	Y	Y
HG01047	male	AMR	PUR	Y	Y
HG00379	female	EUR	FIN	Y	Y
HG01054	male	AMR	PUR	Y	Y
HG00381	female	EUR	FIN	Y	Y
HG00739	male	AMR	PUR	Y	Y
HG00406	male	EAS	CHS	Y	Y
HG00331	female	EUR	FIN	Y	Y
HG00267	male	EUR	FIN	Y	Y
HG00274	female	EUR	FIN	Y	Y
HG01085	male	AMR	PUR	Y	Y
HG00343	female	EUR	FIN	Y	Y
HG01092	female	AMR	PUR	Y	Y
HG00350	female	EUR	FIN	Y	Y
HG01097	male	AMR	PUR	Y	Y
HG00717	female	EAS	CHS	Y	Y
HG00708	female	EAS	CHS	Y	Y
HG00734	female	AMR	PUR	Y	Y
HG00731	male	AMR	PUR	Y	Y
HG01124	male	AMR	CLM	Y	Y
HG00736	male	AMR	PUR	Y	Y
HG01131	female	AMR	CLM	Y	Y
HG01136	male	AMR	CLM	Y	Y
HG01148	male	AMR	CLM	Y	Y
HG00139	male	EUR	GBR	Y	Y
HG01075	male	AMR	PUR	Y	Y
HG00146	female	EUR	GBR	Y	Y
HG01082	male	AMR	PUR	Y	Y
HG00266	female	EUR	FIN	Y	Y
